"date_day","namefull","birthday","gender","billv"
2017-02-08,"Мономахова Агния",1988-10-27,0,961
2017-02-08,"Балашов Станислав",1974-08-31,1,1033
2017-02-08,"Карачарова Дарья",1988-10-10,0,1149
2017-02-08,"Житова Лилия",1967-08-18,0,871
2017-02-08,"Стариков Станислав",1978-05-02,1,1087
2017-02-08,"Хмелева Любовь",1981-10-15,0,777
2017-02-08,"Казаринов Данила",1983-08-25,1,1122
2017-02-08,"Селиверстова Валерия",1984-12-15,0,1188
2017-02-08,"Бологовский Тимофей",1977-05-08,1,1198
2017-02-08,"Хвостова Дарья",1979-10-12,0,1732
2017-02-08,"Городчиков Леонид",1992-05-30,1,1055
2017-02-08,"Мачихин Матвей",1979-05-26,1,1665
2017-02-09,"Огибалов Ярослав",1985-08-09,1,1313
2017-02-09,"Гринев Георгий",1981-08-11,1,1018
2017-02-09,"Карпова Наталия",1978-02-27,0,2051
2017-02-09,"Шафонский Борис",1967-05-27,1,1110
2017-02-09,"Алексеев Гавриил",1986-12-30,1,1692
2017-02-09,"Вознесенский Алексей",1985-06-23,1,1191
2017-02-09,"Пырьев Сергей",1987-10-12,1,1784
2017-02-09,"Туренин Иван",1981-05-20,1,1958
2017-02-09,"Крупенский Роман",1974-07-15,1,1007
2017-02-09,"Стрешнев Гавриил",1984-10-06,1,1793
2017-02-09,"Воропанов Эдуард",1973-09-22,1,1767
2017-02-09,"Круковецкий Игорь",1968-05-20,1,1657
2017-02-09,"Бебутова Римма",1992-07-02,0,832
2017-02-09,"Боровитинова Таисия",1986-03-15,0,723
2017-02-09,"Молчанова Анастасия",1982-07-26,0,1130
2017-02-09,"Ефремовский Антон",1970-10-16,1,1293
2017-02-09,"Гоголь Валентина",1984-10-26,0,892
2017-02-09,"Борецкая Валерия",1984-03-11,0,1576
2017-02-09,"Жолобов Эдуард",1983-04-26,1,1806
2017-02-09,"Бровков Александр",1982-09-04,1,908
2017-02-09,"Извольский Валентин",1979-08-06,1,986
2017-02-09,"Поздеев Григорий",1980-09-13,1,1622
2017-02-09,"Балашов Станислав",1974-08-31,1,800
2017-02-09,"Лонгинов Данила",1979-04-26,1,1277
2017-02-09,"Старжинский Анатолий",1980-05-07,1,815
2017-02-09,"Минков Эдуард",1982-10-06,1,1251
2017-02-09,"Сосновская Лидия",1964-05-16,0,509
2017-02-09,"Зузин Аркадий",1985-03-04,1,2500
2017-02-09,"Неплюева Александра",1970-10-28,0,679
2017-02-09,"Чернявская Ольга",1975-02-15,0,2286
2017-02-09,"Поливанов Илья",1992-06-28,1,1295
2017-02-09,"Гайворонская Анна",1972-10-06,0,1680
2017-02-09,"Кузьмин Иннокентий",1989-01-28,1,720
2017-02-10,"Доможиров Станислав",1984-10-15,1,1014
2017-02-10,"Кошелева Екатерина",1981-09-18,0,1567
2017-02-10,"Баркова Марина",1982-10-08,0,469
2017-02-10,"Лихачёва Маргарита",1992-12-28,0,1759
2017-02-10,"Сазонова Инна",1969-02-27,0,1117
2017-02-10,"Булатова Ольга",1977-07-01,0,1677
2017-02-10,"Брешковская Мария",1980-12-29,0,1089
2017-02-10,"Гавловский Гавриил",1992-11-12,1,763
2017-02-10,"Цвирко Тимофей",1969-02-14,1,1017
2017-02-10,"Астрецов Юрий",1981-06-13,1,1475
2017-02-10,"Вальцов Роман",1990-07-16,1,1074
2017-02-10,"Деденев Богдан",1977-11-10,1,571
2017-02-10,"Путьковская Алиса",1983-01-15,0,1521
2017-02-10,"Ларионов Яков",1982-12-26,1,932
2017-02-10,"Водов Кирилл",1970-06-19,1,939
2017-02-10,"Игнатьева Алёна",1987-05-03,0,653
2017-02-10,"Исаева Диана",1988-09-11,0,1243
2017-02-10,"Крупенский Роман",1974-07-15,1,1001
2017-02-10,"Шафонский Борис",1981-05-08,1,812
2017-02-10,"Аршинский Валентин",1994-11-02,1,1599
2017-02-10,"Меншиков Глеб",1978-10-27,1,874
2017-02-10,"Шахова Елизавета",1973-02-02,0,2151
2017-02-10,"Голенин Иван",1991-05-03,1,1459
2017-02-10,"Шапенков Матвей",1984-01-28,1,2025
2017-02-10,"Щербатов Ярослав",1983-06-20,1,656
2017-02-10,"Саблукова Валентина",1988-07-03,0,1409
2017-02-10,"Лашкевич Максим",1992-05-05,1,659
2017-02-10,"Микешина Элеонора",1986-12-09,0,1746
2017-02-10,"Бакаев Валерий",1980-09-27,1,1769
2017-02-10,"Стрекалов Павел",1984-12-24,1,1020
2017-02-10,"Деревянко Вера",1981-06-21,0,988
2017-02-10,"Голощанова Лидия",1977-05-03,0,614
2017-02-10,"Зубатова Любовь",1995-11-26,0,1031
2017-02-10,"Кожевников Иван",1988-11-11,1,1269
2017-02-10,"Ашиткова Вероника",1976-07-15,0,655
2017-02-10,"Шульгин Юрий",1963-06-07,1,506
2017-02-11,"Внуков Олег",1978-11-23,1,2686
2017-02-11,"Скарятина Валентина",1976-05-04,0,1150
2017-02-11,"Барятинский Святослав",1975-11-20,1,1361
2017-02-11,"Лихачёв Григорий",1979-12-07,1,1283
2017-02-11,"Горонович Сергей",1973-04-26,1,1055
2017-02-11,"Шиферов Артём",1983-02-15,1,826
2017-02-11,"Жилина Алёна",1983-11-08,0,1380
2017-02-11,"Ефимовский Георгий",1981-02-19,1,1625
2017-02-11,"Кашкина Александра",1990-09-07,0,1078
2017-02-11,"Оффенберг Агния",1979-06-23,0,1025
2017-02-11,"Шульговский Глеб",1970-04-27,1,1072
2017-02-11,"Евлашев Леонид",1991-03-10,1,1020
2017-02-11,"Бурков Владимир",1976-09-26,1,1185
2017-02-11,"Исленьев Юрий",1976-11-17,1,837
2017-02-11,"Малиновская Елизавета",1973-09-12,0,1039
2017-02-11,"Шахова Елизавета",1973-02-02,0,708
2017-02-11,"Веневитинов Денис",1993-11-07,1,2772
2017-02-11,"Емелькин Василий",1977-12-12,1,1409
2017-02-11,"Шахматова Марья",1978-04-10,0,1253
2017-02-11,"Грабленова Лариса",1977-05-29,0,1475
2017-02-11,"Петухов Тимур",1978-09-08,1,856
2017-02-11,"Шаламов Станислав",1968-07-10,1,1734
2017-02-11,"Спиридов Егор",1965-04-09,1,1087
2017-02-11,"Белькова Элеонора",1997-06-30,0,1830
2017-02-11,"Стрекалов Павел",1984-12-24,1,2171
2017-02-11,"Крещенская Татьяна",1981-10-15,0,1379
2017-02-11,"Скопин Геннадий",1985-12-26,1,1063
2017-02-11,"Брянцов Дмитрий",1983-09-05,1,1827
2017-02-11,"Брезгун Василий",1974-03-27,1,2421
2017-02-11,"Желябужская Анна",1990-05-14,0,909
2017-02-11,"Якунин Глеб",1974-08-30,1,710
2017-02-11,"Некрасова Маргарита",1988-08-14,0,914
2017-02-11,"Хлебникова Снежана",1991-01-12,0,1171
2017-02-11,"Кожевников Владимир",1987-03-10,1,960
2017-02-11,"Полетыло Полина",1987-10-24,0,589
2017-02-11,"Якимович Аркадий",1967-02-03,1,1384
2017-02-11,"Герасименко Олег",1985-10-29,1,843
2017-02-11,"Донец Софья",1989-11-21,0,1066
2017-02-11,"Стороженко Вадим",1977-12-02,1,995
2017-02-11,"Войников Алексей",1982-12-04,1,782
2017-02-11,"Бологовский Ростислав",1970-05-15,1,2371
2017-02-11,"Купреянова Александра",1970-06-03,0,464
2017-02-11,"Юматов Юрий",1980-09-10,1,1377
2017-02-12,"Высоцкий Владимир",1991-10-30,1,1025
2017-02-12,"Горсткин Гавриил",1984-02-29,1,1302
2017-02-12,"Шиловская Таисия",1983-10-13,0,867
2017-02-12,"Левкович Никита",1985-07-23,1,788
2017-02-12,"Аверкиева Светлана",1974-08-06,0,1988
2017-02-12,"Пырьев Сергей",1987-10-12,1,2116
2017-02-12,"Бирдюкина Виктория",1975-07-26,0,1524
2017-02-12,"Поздеев Григорий",1994-03-26,1,1601
2017-02-12,"Жукова Наталья",1994-02-01,0,845
2017-02-12,"Иловайский Святослав",1972-07-05,1,1802
2017-02-12,"Кожевников Владимир",1976-09-14,1,1224
2017-02-12,"Гончарук Богдан",1981-06-18,1,720
2017-02-12,"Судленкова Лидия",1982-02-04,0,1762
2017-02-12,"Мошкова Марина",1973-03-10,0,1524
2017-02-12,"Муханова Вероника",1989-04-07,0,1575
2017-02-12,"Тулупова Ольга",1970-12-22,0,1160
2017-02-12,"Брянцова Арина",1980-07-18,0,1760
2017-02-12,"Воробьёва Валентина",1977-06-12,0,3126
2017-02-12,"Мезенцова Марина",1995-09-30,0,3160
2017-02-12,"Андроникова Мария",1983-06-30,0,1532
2017-02-12,"Карбышев Александр",1977-08-20,1,481
2017-02-12,"Мартынский Григорий",1983-07-18,1,1348
2017-02-12,"Некрасова Ольга",1971-01-03,0,2031
2017-02-12,"Кусов Кирилл",1972-05-12,1,828
2017-02-12,"Гулидов Николай",1982-03-07,1,2031
2017-02-12,"Кутайсов Вадим",1982-06-03,1,1104
2017-02-12,"Хвостова Дарья",1979-10-12,0,1029
2017-02-12,"Ахматова Элеонора",1974-01-10,0,962
2017-02-12,"Глебова Наталья",1963-04-24,0,615
2017-02-12,"Шестаков Александр",1979-07-24,1,1399
2017-02-12,"Лабунский Александр",1977-01-21,1,474
2017-02-12,"Булатов Сергей",1972-01-31,1,1754
2017-02-13,"Ляпунова Анна",1971-08-24,0,1880
2017-02-13,"Соломерецкая Надежда",1986-12-03,0,798
2017-02-13,"Бастанова Алёна",1970-11-03,0,1182
2017-02-13,"Бушинская Дарья",1972-09-05,0,1709
2017-02-13,"Бебутова Римма",1965-09-03,0,1670
2017-02-13,"Щиголев Алексей",1983-02-15,1,2534
2017-02-13,"Ларионов Яков",1982-12-26,1,876
2017-02-13,"Тарасова Анжела",1978-06-27,0,804
2017-02-13,"Гришко Пётр",1980-06-14,1,734
2017-02-13,"Кавелина Фаина",1978-03-26,0,923
2017-02-13,"Баскаков Матвей",1976-06-30,1,2094
2017-02-13,"Дубровский Богдан",1982-06-09,1,1676
2017-02-13,"Худобашев Виталий",1967-12-08,1,1614
2017-02-13,"Бурков Владимир",1976-09-26,1,1247
2017-02-13,"Духовская Светлана",1972-12-31,0,1386
2017-02-13,"Астрецов Юрий",1992-08-09,1,1201
2017-02-13,"Кологривов Матвей",1984-07-19,1,1295
2017-02-13,"Вознесенская Наталья",1973-08-17,0,2870
2017-02-13,"Голощанова Лидия",1977-05-03,0,1409
2017-02-13,"Калугин Даниил",1972-04-16,1,1975
2017-02-13,"Юсупов Антон",1971-11-16,1,553
2017-02-13,"Гавренев Сергей",1988-08-20,1,1648
2017-02-13,"Менделеева Нина",1971-10-21,0,1068
2017-02-13,"Варсонофьева Любовь",1991-06-24,0,1199
2017-02-13,"Брезгун Борис",1976-01-04,1,1705
2017-02-13,"Огибалова Алла",1974-08-26,0,1369
2017-02-13,"Гречанинов Артём",1973-02-06,1,608
2017-02-13,"Солтыков Святослав",1986-03-11,1,907
2017-02-13,"Лабунский Александр",1977-01-21,1,680
2017-02-14,"Крашевский Артём",1976-09-23,1,1287
2017-02-14,"Якубович Маргарита",1978-04-30,0,735
2017-02-14,"Огибалов Ярослав",1985-08-09,1,896
2017-02-14,"Ашиткова Надежда",1985-10-04,0,1298
2017-02-14,"Телятевский Кирилл",1992-02-16,1,588
2017-02-14,"Вознесенский Алексей",1985-06-23,1,787
2017-02-14,"Гринев Фёдор",1971-05-11,1,1011
2017-02-14,"Лашкевич Никита",1985-07-26,1,1721
2017-02-14,"Панютина Таисия",1984-01-09,0,1226
2017-02-14,"Пазухин Юрий",1974-10-03,1,732
2017-02-14,"Вяземский Виктор",1986-07-01,1,840
2017-02-14,"Березникова Зинаида",1979-07-06,0,788
2017-02-14,"Юрьева Диана",1987-12-16,0,931
2017-02-14,"Гришко Пётр",1980-06-14,1,663
2017-02-14,"Бутенев Владислав",1978-03-21,1,807
2017-02-14,"Строев Илья",1987-06-21,1,871
2017-02-14,"Извольский Сергей",1990-04-19,1,1121
2017-02-14,"Заплатин Виталий",1987-12-28,1,785
2017-02-14,"Маевский Фёдор",1969-07-26,1,3385
2017-02-14,"Терпигорева Светлана",1986-06-04,0,1021
2017-02-14,"Вояковская Марина",1979-07-23,0,902
2017-02-14,"Татев Николай",1990-02-13,1,1925
2017-02-14,"Мельгунов Григорий",1984-04-11,1,1483
2017-02-14,"Яновский Григорий",1978-09-12,1,885
2017-02-14,"Вронская Варвара",1981-11-06,0,727
2017-02-14,"Мезенцова Марина",1995-09-30,0,1038
2017-02-14,"Лонгинов Данила",1979-04-26,1,1861
2017-02-14,"Крамарь Алина",1973-05-21,0,953
2017-02-14,"Лунин Игорь",1983-12-15,1,1924
2017-02-14,"Лабунский Александр",1975-03-02,1,1881
2017-02-14,"Паскевич Виктория",1986-01-24,0,1085
2017-02-14,"Евреинов Артём",1993-02-06,1,819
2017-02-14,"Ахматова Элеонора",1974-01-10,0,980
2017-02-14,"Лозинская Оксана",1993-07-20,0,902
2017-02-14,"Трусова Анфиса",1975-10-21,0,1679
2017-02-14,"Щербина Алексей",1980-08-04,1,1765
2017-02-14,"Шатилов Георгий",1980-01-17,1,1417
2017-02-14,"Ягодинская Валентина",1973-07-17,0,1024
2017-02-14,"Карачаров Виктор",1971-05-31,1,791
2017-02-15,"Лобода Артём",1972-04-09,1,3427
2017-02-15,"Лобанов Николай",1980-07-31,1,1193
2017-02-15,"Мальш Артём",1982-08-12,1,924
2017-02-15,"Путьковская Алиса",1983-01-15,0,1898
2017-02-15,"Расловлев Данила",1983-04-13,1,887
2017-02-15,"Неверович Никита",1974-03-18,1,992
2017-02-15,"Исаева Диана",1988-09-11,0,734
2017-02-15,"Воронецкий Илья",1971-07-23,1,878
2017-02-15,"Гулидов Николай",1960-09-16,1,984
2017-02-15,"Юшков Леонид",1982-03-08,1,2009
2017-02-15,"Балакирев Валентин",1972-11-12,1,630
2017-02-15,"Хмелев Александр",1986-03-16,1,1038
2017-02-15,"Бехтеева Ирина",1992-04-09,0,1763
2017-02-15,"Михеев Данила",1970-01-30,1,671
2017-02-15,"Гуровский Антон",1981-11-14,1,1000
2017-02-15,"Золотаревская Марина",1979-06-18,0,748
2017-02-15,"Баркова Марина",1997-08-18,0,961
2017-02-15,"Маевский Вячеслав",1985-12-13,1,1022
2017-02-15,"Чемодурова Екатерина",1987-10-08,0,1939
2017-02-15,"Буткова Маргарита",1986-06-21,0,721
2017-02-15,"Алалыкина Маргарита",1982-09-03,0,1742
2017-02-15,"Богданов Святослав",1994-08-03,1,570
2017-02-15,"Позняков Яков",1985-12-20,1,857
2017-02-15,"Емелькин Василий",1977-12-12,1,1194
2017-02-15,"Вахнеев Максим",1983-03-14,1,1664
2017-02-15,"Мамаев Пётр",1988-03-16,1,732
2017-02-15,"Кречетникова Маргарита",1978-09-23,0,1008
2017-02-15,"Королёва Ирина",1985-09-24,0,2184
2017-02-15,"Духовская Светлана",1984-02-13,0,2282
2017-02-15,"Челищев Руслан",1980-02-09,1,903
2017-02-15,"Кутайсов Георгий",1985-12-08,1,1192
2017-02-15,"Юсупов Антон",1971-11-16,1,627
2017-02-15,"Кашкарова Инна",1982-12-15,0,1271
2017-02-15,"Полонская Зоя",1971-08-12,0,932
2017-02-15,"Головцына Валентина",1979-11-19,0,1996
2017-02-15,"Голоперова Юлия",1980-06-07,0,2087
2017-02-15,"Трусова Анфиса",1975-10-21,0,1996
2017-02-15,"Лашкевич Никита",1975-10-11,1,1358
2017-02-15,"Чернявская Ольга",1975-02-15,0,2035
2017-02-15,"Огинский Павел",1981-06-11,1,2647
2017-02-15,"Мартьянов Руслан",1985-10-01,1,446
2017-02-16,"Головкин Антон",1967-04-15,1,1293
2017-02-16,"Малявко Елена",1973-05-26,0,729
2017-02-16,"Загоскин Денис",1988-09-22,1,679
2017-02-16,"Алалыкина Маргарита",1975-10-30,0,1907
2017-02-16,"Симолин Тимур",1984-05-12,1,596
2017-02-16,"Щиголев Алексей",1983-02-15,1,1435
2017-02-16,"Лашкевич Никита",1985-07-26,1,1359
2017-02-16,"Гришко Сергей",1980-01-02,1,1593
2017-02-16,"Волоцкая Ольга",1986-12-03,0,1199
2017-02-16,"Неверович Никита",1974-03-18,1,1650
2017-02-16,"Скарятин Богдан",1988-07-20,1,523
2017-02-16,"Жукова Наталья",1994-02-01,0,642
2017-02-16,"Извольский Сергей",1990-04-19,1,1300
2017-02-16,"Ададуров Станислав",1974-11-01,1,1124
2017-02-16,"Щепин Николай",1984-07-18,1,1207
2017-02-16,"Обрютин Григорий",1976-08-16,1,1825
2017-02-16,"Шелехов Святослав",1978-02-18,1,1030
2017-02-16,"Круковецкий Игорь",1968-05-20,1,1655
2017-02-16,"Тимашев Семён",1988-05-09,1,1502
2017-02-16,"Протопопов Вадим",1976-02-10,1,1083
2017-02-16,"Собанский Валентин",1972-01-13,1,761
2017-02-16,"Терпигорева Светлана",1986-06-04,0,2941
2017-02-16,"Хилков Даниил",1993-10-30,1,1993
2017-02-16,"Малиновская Елизавета",1973-09-12,0,802
2017-02-16,"Горецкий Иннокентий",1973-03-14,1,1063
2017-02-16,"Губастов Владимир",1982-01-18,1,925
2017-02-16,"Гринев Георгий",1981-04-22,1,844
2017-02-16,"Бурлей Наталья",1980-02-15,0,802
2017-02-16,"Пажинский Павел",1994-07-16,1,2925
2017-02-16,"Лонгинов Данила",1982-04-22,1,1406
2017-02-16,"Саблукова Валентина",1988-07-03,0,1953
2017-02-16,"Есипов Фёдор",1980-01-03,1,1067
2017-02-16,"Некрасова Маргарита",1973-08-13,0,532
2017-02-16,"Вронская Варвара",1981-11-06,0,912
2017-02-16,"Масленицкая Лилия",1979-05-01,0,1793
2017-02-16,"Бокастова Татьяна",1974-01-16,0,1674
2017-02-16,"Беднякова Анфиса",1980-08-04,0,1326
2017-02-16,"Козак Инна",1982-02-04,0,1323
2017-02-16,"Селифонтов Валерий",1968-06-22,1,1172
2017-02-16,"Ланге Филипп",1981-11-08,1,609
2017-02-16,"Хилков Даниил",1980-07-25,1,852
2017-02-16,"Третьякова Екатерина",1988-01-13,0,1007
2017-02-16,"Гришко Пётр",1971-09-24,1,1239
2017-02-16,"Кожевников Владимир",1987-08-22,1,1096
2017-02-16,"Федотова Алевтина",1994-11-20,0,842
2017-02-16,"Леванидова Маргарита",1993-12-06,0,961
2017-02-16,"Паскевич Виктория",1986-01-24,0,786
2017-02-16,"Нилова Анна",1973-05-25,0,1024
2017-02-16,"Полтинин Ярослав",1991-06-25,1,1419
2017-02-16,"Суворова Татьяна",1976-12-29,0,1168
2017-02-16,"Голенкин Егор",1975-07-02,1,587
2017-02-16,"Голикова Марья",1965-11-22,0,1427
2017-02-16,"Шульгин Юрий",1963-06-07,1,1133
2017-02-16,"Протасов Андрей",1995-04-28,1,699
2017-02-17,"Ашиткова Надежда",1985-10-04,0,661
2017-02-17,"Чеботарёва Любовь",1975-10-16,0,1082
2017-02-17,"Сазонова Инна",1969-02-27,0,1784
2017-02-17,"Шиферов Артём",1983-02-15,1,1009
2017-02-17,"Юрченко Светлана",1982-02-14,0,781
2017-02-17,"Донцова Ольга",1973-11-30,0,664
2017-02-17,"Калечицкий Иван",1980-12-23,1,1527
2017-02-17,"Пырьев Сергей",1987-10-12,1,1501
2017-02-17,"Фишер Наталия",1988-07-23,0,607
2017-02-17,"Спешнев Максим",1991-03-13,1,1843
2017-02-17,"Бирдюкина Виктория",1975-07-26,0,1586
2017-02-17,"Поздеев Григорий",1986-09-10,1,1349
2017-02-17,"Бакаева Кристина",1966-08-06,0,357
2017-02-17,"Шиловская Таисия",1990-07-01,0,653
2017-02-17,"Евлашев Леонид",1991-03-10,1,1177
2017-02-17,"Мусоргский Иннокентий",1980-04-03,1,651
2017-02-17,"Арнаутова Жанна",1971-08-16,0,993
2017-02-17,"Голоперова Юлия",1982-08-26,0,830
2017-02-17,"Шубинский Игорь",1975-09-24,1,1322
2017-02-17,"Нетудыхата Юлия",1966-02-26,0,824
2017-02-17,"Шульц Кирилл",1980-01-13,1,1097
2017-02-17,"Гринев Георгий",1981-04-22,1,682
2017-02-17,"Бухвостова Екатерина",1970-08-24,0,1103
2017-02-17,"Алалыкина Маргарита",1982-09-03,0,1168
2017-02-17,"Некрасова Маргарита",1973-08-13,0,534
2017-02-17,"Танеев Григорий",1975-08-03,1,1180
2017-02-17,"Лашкевич Максим",1992-05-05,1,869
2017-02-17,"Микешина Элеонора",1986-12-09,0,1555
2017-02-17,"Беднякова Анфиса",1980-08-04,0,1149
2017-02-17,"Арцыбашева Жанна",1972-12-24,0,1394
2017-02-17,"Крамарь Алина",1973-05-21,0,1210
2017-02-17,"Бочина Ирина",1981-08-27,0,1609
2017-02-17,"Еремеева Антонина",1981-09-14,0,649
2017-02-17,"Полтинин Ярослав",1982-03-05,1,926
2017-02-17,"Грищук Филипп",1983-02-23,1,1345
2017-02-17,"Васильчин Станислав",1976-09-15,1,865
2017-02-17,"Купреянова Александра",1970-06-03,0,847
2017-02-17,"Ленивцева Маргарита",1990-01-25,0,936
2017-02-17,"Огинский Павел",1981-06-11,1,1943
2017-02-17,"Глазенап Алиса",1979-01-23,0,1237
2017-02-18,"Травин Егор",1984-02-03,1,995
2017-02-18,"Матвеева Людмила",1978-01-29,0,806
2017-02-18,"Шульгин Юрий",1986-09-18,1,1282
2017-02-18,"Дедюлин Филипп",1979-07-10,1,1460
2017-02-18,"Лунина Анна",1986-10-05,0,648
2017-02-18,"Тушина Татьяна",1977-03-24,0,1057
2017-02-18,"Дивеев Тимур",1982-10-17,1,1047
2017-02-18,"Спицына Юлия",1978-01-17,0,2296
2017-02-18,"Фишер Наталия",1988-07-23,0,817
2017-02-18,"Тюфякин Пётр",1980-06-18,1,1224
2017-02-18,"Шиманский Анатолий",1966-07-15,1,1142
2017-02-18,"Гоголь Валентина",1984-10-26,0,814
2017-02-18,"Шипов Степан",1983-09-23,1,1527
2017-02-18,"Емелькин Василий",1977-12-12,1,1415
2017-02-18,"Петухов Тимур",1978-09-08,1,521
2017-02-18,"Карелов Григорий",1986-05-21,1,1131
2017-02-18,"Баскаков Матвей",1987-02-15,1,1097
2017-02-18,"Вралова Вера",1979-07-06,0,681
2017-02-18,"Карачарова Дарья",1988-10-10,0,1137
2017-02-18,"Емелькин Василий",1970-05-02,1,1294
2017-02-18,"Остафьев Вадим",1979-03-05,1,1801
2017-02-18,"Желябужская Анна",1990-05-14,0,1867
2017-02-18,"Ипатьев Игорь",1971-09-15,1,1458
2017-02-18,"Толбугина Виктория",1973-09-19,0,566
2017-02-18,"Левин Павел",1970-07-09,1,942
2017-02-18,"Якимович Аркадий",1967-02-03,1,1058
2017-02-18,"Головкин Антон",1980-01-09,1,1181
2017-02-18,"Бойко Филипп",1971-12-11,1,727
2017-02-18,"Шапенков Валерий",1992-11-05,1,1069
2017-02-18,"Васильчин Станислав",1976-09-15,1,1560
2017-02-18,"Восьянова Диана",1963-02-20,0,1806
2017-02-18,"Глазенап Алиса",1979-01-23,0,1410
2017-02-19,"Булгаков Пётр",1978-03-04,1,816
2017-02-19,"Сумарокова Яна",1987-05-10,0,749
2017-02-19,"Ветошникова Екатерина",1979-04-11,0,681
2017-02-19,"Дедюлин Филипп",1979-07-10,1,851
2017-02-19,"Сазонова Инна",1969-02-27,0,2071
2017-02-19,"Лунина Анна",1986-10-05,0,2132
2017-02-19,"Щиголев Алексей",1983-02-15,1,1332
2017-02-19,"Путьковская Алиса",1983-01-15,0,2139
2017-02-19,"Измайлов Георгий",1993-01-02,1,1185
2017-02-19,"Неверович Никита",1974-03-18,1,1523
2017-02-19,"Бирдюкина Виктория",1975-07-26,0,1487
2017-02-19,"Лонгинов Данила",1973-01-10,1,622
2017-02-19,"Извольский Сергей",1990-04-19,1,914
2017-02-19,"Бакаева Кристина",1966-08-06,0,644
2017-02-19,"Обрютин Григорий",1976-08-16,1,1319
2017-02-19,"Шумакова Галина",1984-02-02,0,1513
